 196405012318  2.2  -123.100   49.700   PGC             Mw   2.2 Mq     2.20
 196411070018  2.3  -122.300   49.200   PGC             Mw   2.3 Mq     2.30
 196704091849  2.0  -122.400   49.000   PGC             Mw   2.0 Mq     2.00
 196707200746  2.1  -122.300   49.200   PGC             Mw   2.1 Mq     2.10
 196710011204  2.1  -123.600   49.600   PGC             Mw   2.1 Mq     2.10
 196711290318  2.3  -123.000   48.900   PGC             Mw   2.3 Mq     2.30
 196906121645  2.2  -122.300   48.900   PGC     18.00 F Mw   2.2 Mq     2.20
 196906121654  2.3  -122.300   48.900   PGC     18.00 F Mw   2.3 Mq     2.30
 197007111024  2.3  -123.300   50.000   PGC     18.00 F Mw   2.3 Mq     2.30
 197008182218  2.0  -126.000   49.800   PGC     18.00 F Mw   2.0 Mq     2.00
 197109262227  2.3  -126.400   49.900   PGC     18.00 F Mw   2.3 Mq     2.30
 197203160150  2.1  -123.140   49.710   PGC     18.00 F Mw   2.1 Mq     2.10
 197407140443  2.4  -124.618   49.761   PGC      8.00   Mw   2.4 Mq     2.40
 197510070305  2.0  -122.669   49.319   PGC      1.00   Mw   2.0 Mq     2.00
 197511301539  2.2  -123.630   49.220   PGC     18.00 F Mw   2.2 Mq     2.20
 197511301928  2.2  -123.633   49.242   PGC      5.00   Mw   2.2 Mq     2.20
 197601030711  2.3  -124.583   48.749   PGC     19.00   Mw   2.3 Mq     2.30
 197601101555  2.2  -125.210   49.430   PGC     18.00 F Mw   2.2 Mq     2.20
 197602010009  2.2  -123.634   49.227   PGC     27.00   Mw   2.2 Mq     2.20
 197602180017  2.4  -123.627   49.230   PGC     25.00   Mw   2.4 Mq     2.40
 197603010509  2.3  -126.370   49.900   PGC     18.00 F Mw   2.3 Mq     2.30
 197603060157  2.1  -123.646   49.244   PGC      7.00   Mw   2.1 Mq     2.10
 197603201209  2.3  -122.430   49.276   PGC      5.00   Mw   2.3 Mq     2.30
 197606012218  2.4  -124.021   48.552   PGC     41.00   Mw   2.4 Mq     2.40
 197607250656  2.2  -123.641   49.252   PGC      7.00   Mw   2.2 Mq     2.20
 197608131504  2.3  -124.680   48.484   PGC     33.00   Mw   2.3 Mq     2.30
 197608301803  2.4  -123.612   49.215   PGC      6.00   Mw   2.4 Mq     2.40
 197702030623  2.4  -123.725   48.682   PGC     15.00   Mw   2.4 Mq     2.40
 197702251920  2.4  -126.320   50.410   PGC     18.00 F Mw   2.4 Mq     2.40
 197703180140  2.1  -125.500   50.800   PGC     18.00 F Mw   2.1 Mq     2.10
 197707170239  2.0  -124.700   49.646   PGC     31.00   Mw   2.0 Mq     2.00
 197707201053  2.2  -125.600   50.800   PGC     18.00 F Mw   2.2 Mq     2.20
 197710070249  2.0  -125.170   48.871   PGC     12.00   Mw   2.0 Mq     2.00
