# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-79.87000,44.58000,3.964982E-02,1.046148E-02,1.332728E-02,3.083777E-03
-79.87000,47.82000,4.481626E-02,1.152396E-02,1.379241E-02,3.104467E-03
-79.86000,43.25000,4.467602E-02,1.100312E-02,1.377235E-02,3.075055E-03
-79.82000,44.87000,4.071545E-02,1.075419E-02,1.357757E-02,3.144358E-03
-79.82000,47.72000,4.614041E-02,1.186835E-02,1.419782E-02,3.202752E-03
-79.80000,43.32000,4.543070E-02,1.116933E-02,1.398165E-02,3.123567E-03
-79.78000,47.07000,5.361801E-02,1.366789E-02,1.614930E-02,3.621038E-03
-79.77000,43.68000,4.142275E-02,1.061255E-02,1.350867E-02,3.074953E-03
-79.68000,43.45000,4.578765E-02,1.132284E-02,1.420679E-02,3.185628E-03
-79.67000,44.40000,4.029187E-02,1.060882E-02,1.355416E-02,3.137817E-03
-79.67000,47.50000,4.990048E-02,1.284272E-02,1.532942E-02,3.459264E-03
-79.65000,43.58000,4.425424E-02,1.111842E-02,1.403992E-02,3.172388E-03
-79.63000,47.45000,5.105367E-02,1.312157E-02,1.565173E-02,3.530242E-03
-79.62000,42.90000,4.327594E-02,1.074285E-02,1.348282E-02,3.013213E-03
-79.61000,43.68000,4.326431E-02,1.099352E-02,1.394429E-02,3.168235E-03
-79.60000,43.78000,4.216610E-02,1.082891E-02,1.379680E-02,3.151430E-03
-79.58000,43.55000,4.576307E-02,1.138805E-02,1.433101E-02,3.224204E-03
-79.57000,43.20000,4.766396E-02,1.161721E-02,1.447152E-02,3.216466E-03
-79.57000,43.70000,4.350081E-02,1.105435E-02,1.402289E-02,3.186665E-03
-79.57000,44.12000,4.068881E-02,1.064837E-02,1.364451E-02,3.149180E-03
-79.55000,43.10000,4.714163E-02,1.149813E-02,1.432562E-02,3.185150E-03
-79.55000,44.47000,4.101398E-02,1.080712E-02,1.377665E-02,3.191866E-03
-79.47000,44.00000,4.162077E-02,1.083014E-02,1.385961E-02,3.190061E-03
-79.47000,44.05000,4.142548E-02,1.080616E-02,1.383627E-02,3.189056E-03
-79.47000,46.32000,5.699521E-02,1.461313E-02,1.726941E-02,3.908939E-03
-79.45000,43.87000,4.268120E-02,1.100011E-02,1.403257E-02,3.213619E-03
-79.43000,47.33000,5.656382E-02,1.441436E-02,1.701899E-02,3.842747E-03
-79.42000,43.77000,4.435092E-02,1.127592E-02,1.431860E-02,3.257733E-03
-79.42000,44.62000,4.204862E-02,1.109571E-02,1.407208E-02,3.261258E-03
-79.40000,45.62000,4.779537E-02,1.256303E-02,1.539055E-02,3.532270E-03
-79.40000,45.77000,4.916859E-02,1.289295E-02,1.571949E-02,3.598676E-03
-79.38000,43.65000,4.692640E-02,1.169897E-02,1.475565E-02,3.325023E-03
-79.38000,45.83000,4.998473E-02,1.309136E-02,1.592772E-02,3.643274E-03
-79.37000,44.92000,4.345582E-02,1.147572E-02,1.441390E-02,3.336895E-03
-79.37000,45.98000,5.196120E-02,1.355497E-02,1.637012E-02,3.738890E-03
-79.30000,45.03000,4.442752E-02,1.172886E-02,1.467323E-02,3.394145E-03
-79.28000,43.03000,4.859252E-02,1.182732E-02,1.475266E-02,3.277756E-03
-79.27000,43.87000,4.433425E-02,1.137008E-02,1.450444E-02,3.317579E-03
-79.25000,42.98000,4.823913E-02,1.175568E-02,1.466812E-02,3.261879E-03
-79.25000,43.17000,4.968755E-02,1.210048E-02,1.509452E-02,3.353607E-03
-79.25000,43.78000,4.610120E-02,1.165444E-02,1.480414E-02,3.363015E-03
-79.23000,42.90000,4.740739E-02,1.157305E-02,1.445770E-02,3.219798E-03
-79.22000,45.33000,4.686888E-02,1.235801E-02,1.529289E-02,3.525712E-03
-79.15000,44.43000,4.305223E-02,1.134468E-02,1.449005E-02,3.362266E-03
-79.12000,44.10000,4.340389E-02,1.132921E-02,1.454978E-02,3.361934E-03
-79.10000,43.82000,4.685021E-02,1.186202E-02,1.511937E-02,3.441186E-03
-79.10000,46.72000,1.058750E-01,2.413096E-02,2.602048E-02,5.497214E-03
-79.07000,43.10000,5.012327E-02,1.221902E-02,1.530423E-02,3.406751E-03
-79.05000,42.88000,4.831332E-02,1.178495E-02,1.476338E-02,3.291493E-03
-79.03000,43.85000,4.690677E-02,1.190668E-02,1.522196E-02,3.470633E-03
-79.03000,44.35000,4.359078E-02,1.147425E-02,1.470908E-02,3.414570E-03
-79.02000,48.23000,4.372641E-02,1.161730E-02,1.429457E-02,3.320466E-03
-79.02000,48.25000,4.348017E-02,1.155564E-02,1.422327E-02,3.304151E-03
-78.95000,43.95000,4.570036E-02,1.176674E-02,1.511553E-02,3.472596E-03
-78.95000,44.10000,4.436823E-02,1.157877E-02,1.490570E-02,3.447738E-03
-78.93000,42.90000,4.898572E-02,1.196087E-02,1.501834E-02,3.352885E-03
-78.93000,43.87000,4.703749E-02,1.198287E-02,1.536345E-02,3.510386E-03
-78.85000,43.90000,4.681705E-02,1.199146E-02,1.541503E-02,3.532659E-03
-78.80000,44.65000,4.571186E-02,1.208213E-02,1.540847E-02,3.585759E-03
-78.75000,44.53000,4.553723E-02,1.202569E-02,1.540434E-02,3.585805E-03
