SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
AKN - ALASKA NORTH,AKN,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.50000e,8.00000e,46287.70,81335.34,26194.20,2.268897,2.423503,2.114291,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
BFT - BEAUFORT SEA,BFT,area,1.00000e,1.50000e,1.00000e,3.50000e,4.80000e,2.4,7.50000e,7.20000e,7.80000e,4250.457,8351.106,2136.644,2.188567,2.411990,1.965145,-99,-99,1969;1965;1961;1951;1917,3.6;3.8;5.0;5.5;6.0,2015,FULL
AID - ALASKA INLAND - DEEP,AID,area,1.00000e,9.00000e,5.00000e,1.30000e,4.80000e,2.4,7.60000e,7.50000e,7.70000e,134814.9,169552.2,107080.4,2.126141,2.189378,2.062903,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
DCR - DENALI CENTRAL REGION,DCR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,6.70000e,6.50000e,6.90000e,72663.34,142534.5,36793.09,2.514948,2.707232,2.322664,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
DSR - DENALI SOUTH REGION,DSR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,6.90000e,7.50000e,1846.876,3988.337,836.6393,1.818181,2.042131,1.594231,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
DCZ - DAWSON COMPRESSION ZONE,DCZ,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.60000e,7.40000e,7.80000e,66844.04,373384.9,11301.73,2.903225,3.382513,2.423937,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
DWR - DENALI WEST REGION,DWR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,6.70000e,6.50000e,6.90000e,107617.7,245564.0,46779.69,2.558926,2.780484,2.337368,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
ELR - ESKIMO LAKES REGION,ELR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.50000e,8.00000e,3196.724,14667.70,682.8214,2.337662,2.800080,1.875244,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
GCB - GLACIER BAY,GCB,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.20000e,7.00000e,7.40000e,1468.651,6304.141,329.4741,1.894736,2.297294,1.492179,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
GOA - GULF OF ALASKA,GOA,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,8.00000e,7.80000e,8.20000e,34279.69,57222.62,20425.12,2.269300,2.418299,2.120301,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.8,2015,FULL
MKM - MACKENZIE MOUNTAINS,MKM,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.70000e,7.50000e,7.90000e,15445.24,17843.18,13357.06,2.126829,2.186276,2.067382,-99,-99,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,FULL
RMN - RICHARDSON MOUNTAINS NORTH,RMN,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.50000e,8.00000e,2712.045,3548.350,2065.054,2.016062,2.128623,1.903501,-99,-99,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,FULL
RMS - RICHARDSON MOUNTAINS SOUTH,RMS,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.50000e,8.00000e,1849.011,2265.985,1504.393,1.801788,1.889483,1.714093,-99,-99,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,FULL
WMR - WRANGELL MOUNTAINS REGION,WMR,area,1.00000e,2.00000e,1.00000e,3.00000e,4.80000e,2.4,7.60000e,7.40000e,7.80000e,74203.79,729696.1,6965.431,3.132530,3.793452,2.471607,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
WSE - WEST ST ELIAS MOUNTAINS,WSE,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.30000e,7.10000e,7.50000e,24475.20,48063.97,12353.00,2.311367,2.507232,2.115502,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
YAK - YAKUTAT COLLISION,YAK,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,8.10000e,7.90000e,8.40000e,205.2953,349.1148,118.6767,1.281216,1.450945,1.111486,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
YAR - YUKON-ALASKA REGION,YAR,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,504386.1,3289101.,75073.03,3.238095,3.735243,2.740947,-99,-99,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,FULL
YUS - YUKON SOUTH,YUS,area,1.00000e,1.00000e,5.00000e,1.50000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,7943.666,23480.11,2608.415,2.328767,2.650771,2.006763,-99,-99,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,FULL
