# Difference between AtkinsonMacias2009.vs115.h15.txt and AtkinsonMacias2009.vs450.h15.txt ground motions in regular (non-log) units
#           14 31 25 : nmag, ndist, nperiod
#           10.000 7.692 6.250 5.000 4.000 3.125 2.500 2.000 1.587 1.266 1.000 0.794 0.633 0.500 0.400 0.316 0.250 0.200 0.159 0.125 0.100 0.079 0.063 0.050 PGA PGV
#           0.875 0.806 0.783 0.737 0.691 0.691 0.691 0.691 0.668 0.668 0.668 0.645 0.645 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.622 0.599 0.599 0.553 0.599
5.250	1.580	2.443	2.844	3.177	3.508	3.715	3.767	3.540	2.535	0.716	0.167	0.069	0.030	0.021	0.024	0.016	0.015	0.014	0.016	0.016	0.021	0.025	0.028	0.029	0.022	0.043	0.032
5.250	2.000	2.449	2.844	3.177	3.508	3.715	3.776	3.548	2.553	0.736	0.175	0.074	0.032	0.023	0.026	0.018	0.017	0.015	0.017	0.018	0.022	0.026	0.030	0.031	0.023	0.045	0.034
5.250	2.510	2.449	2.844	3.184	3.508	3.715	3.767	3.556	2.582	0.766	0.188	0.081	0.036	0.026	0.029	0.020	0.019	0.017	0.019	0.020	0.025	0.029	0.033	0.034	0.026	0.050	0.038
5.250	3.160	2.449	2.844	3.184	3.508	3.715	3.784	3.573	2.618	0.805	0.207	0.091	0.041	0.030	0.033	0.023	0.022	0.020	0.022	0.023	0.028	0.033	0.037	0.038	0.029	0.056	0.042
5.250	3.980	2.443	2.844	3.177	3.508	3.715	3.784	3.597	2.661	0.857	0.233	0.105	0.049	0.037	0.040	0.028	0.026	0.024	0.027	0.027	0.033	0.039	0.043	0.045	0.035	0.064	0.049
5.250	5.010	2.443	2.844	3.184	3.508	3.724	3.793	3.614	2.723	0.927	0.269	0.126	0.061	0.046	0.050	0.036	0.033	0.031	0.033	0.034	0.041	0.047	0.052	0.054	0.042	0.077	0.058
5.250	6.310	2.449	2.844	3.177	3.508	3.724	3.802	3.639	2.793	1.014	0.317	0.156	0.078	0.060	0.064	0.047	0.044	0.040	0.043	0.044	0.052	0.058	0.064	0.066	0.053	0.094	0.071
5.250	7.940	2.449	2.844	3.184	3.499	3.724	3.811	3.673	2.864	1.117	0.378	0.195	0.103	0.080	0.085	0.063	0.059	0.054	0.057	0.057	0.067	0.074	0.081	0.083	0.067	0.117	0.089
5.250	10.000	2.449	2.844	3.177	3.508	3.724	3.819	3.707	2.951	1.239	0.458	0.249	0.137	0.109	0.115	0.086	0.081	0.074	0.077	0.077	0.087	0.096	0.103	0.106	0.087	0.148	0.113
5.250	12.590	2.443	2.844	3.184	3.508	3.724	3.828	3.733	3.041	1.377	0.560	0.320	0.185	0.150	0.157	0.120	0.113	0.103	0.105	0.104	0.116	0.126	0.133	0.137	0.115	0.188	0.144
5.250	15.850	2.443	2.844	3.184	3.508	3.733	3.846	3.758	3.141	1.542	0.684	0.414	0.252	0.208	0.215	0.168	0.157	0.143	0.145	0.141	0.154	0.166	0.174	0.177	0.152	0.242	0.185
5.250	19.950	2.443	2.844	3.177	3.508	3.733	3.855	3.793	3.228	1.718	0.839	0.535	0.343	0.288	0.295	0.236	0.220	0.200	0.199	0.192	0.206	0.217	0.225	0.229	0.200	0.310	0.237
5.250	25.120	2.449	2.844	3.184	3.508	3.733	3.864	3.828	3.334	1.914	1.023	0.689	0.465	0.398	0.404	0.327	0.307	0.278	0.272	0.260	0.273	0.284	0.292	0.296	0.264	0.395	0.303
5.250	31.620	2.443	2.844	3.184	3.508	3.733	3.864	3.864	3.428	2.128	1.245	0.883	0.624	0.545	0.548	0.453	0.423	0.382	0.370	0.349	0.361	0.371	0.377	0.380	0.345	0.502	0.385
5.250	39.810	2.449	2.844	3.184	3.508	3.741	3.882	3.899	3.532	2.355	1.500	1.122	0.830	0.738	0.735	0.618	0.577	0.521	0.497	0.465	0.471	0.476	0.480	0.483	0.448	0.632	0.486
5.250	50.120	2.449	2.844	3.184	3.508	3.741	3.890	3.926	3.622	2.594	1.791	1.400	1.084	0.982	0.971	0.828	0.773	0.695	0.656	0.608	0.605	0.607	0.604	0.605	0.570	0.787	0.604
5.250	63.100	2.449	2.844	3.184	3.508	3.750	3.890	3.954	3.715	2.831	2.104	1.722	1.387	1.274	1.250	1.084	1.012	0.906	0.849	0.778	0.762	0.753	0.745	0.745	0.713	0.959	0.738
5.250	79.430	2.449	2.844	3.177	3.508	3.741	3.908	3.972	3.802	3.062	2.432	2.070	1.730	1.611	1.570	1.377	1.288	1.151	1.064	0.971	0.940	0.918	0.899	0.897	0.871	1.146	0.883
5.250	100.000	2.449	2.844	3.184	3.508	3.741	3.908	3.999	3.873	3.281	2.761	2.432	2.094	1.977	1.914	1.702	1.585	1.416	1.300	1.178	1.125	1.089	1.059	1.054	1.035	1.340	1.033
5.250	125.890	2.449	2.844	3.177	3.508	3.741	3.917	4.018	3.936	3.475	3.076	2.786	2.466	2.344	2.265	2.028	1.892	1.687	1.538	1.384	1.306	1.256	1.213	1.205	1.199	1.524	1.175
5.250	158.490	2.449	2.844	3.177	3.508	3.750	3.917	4.036	3.990	3.639	3.357	3.097	2.805	2.692	2.582	2.339	2.178	1.941	1.758	1.578	1.479	1.413	1.355	1.346	1.349	1.694	1.306
5.250	199.530	2.449	2.844	3.184	3.516	3.750	3.926	4.046	4.027	3.776	3.581	3.373	3.105	2.999	2.877	2.618	2.438	2.168	1.954	1.746	1.626	1.545	1.479	1.469	1.479	1.841	1.422
5.250	251.190	2.449	2.844	3.184	3.508	3.750	3.926	4.055	4.055	3.882	3.767	3.606	3.357	3.258	3.112	2.844	2.649	2.360	2.118	1.888	1.746	1.656	1.581	1.567	1.589	1.959	1.514
5.250	316.230	2.449	2.844	3.184	3.508	3.750	3.936	4.064	4.083	3.954	3.917	3.776	3.548	3.467	3.304	3.027	2.818	2.506	2.249	2.000	1.845	1.738	1.663	1.644	1.671	2.051	1.581
5.250	398.110	2.449	2.844	3.184	3.508	3.750	3.936	4.064	4.102	4.018	4.018	3.908	3.698	3.614	3.443	3.170	2.951	2.618	2.344	2.080	1.914	1.807	1.722	1.702	1.734	2.118	1.641
5.250	501.190	2.443	2.851	3.184	3.508	3.750	3.936	4.074	4.111	4.064	4.093	3.999	3.811	3.724	3.548	3.266	3.041	2.704	2.415	2.143	1.963	1.849	1.762	1.742	1.778	2.173	1.675
5.250	630.960	2.443	2.851	3.184	3.508	3.750	3.936	4.074	4.121	4.083	4.150	4.074	3.882	3.802	3.614	3.334	3.105	2.761	2.466	2.188	2.004	1.884	1.791	1.770	1.811	2.203	1.706
5.250	794.330	2.443	2.851	3.177	3.508	3.750	3.926	4.074	4.130	4.102	4.188	4.111	3.936	3.864	3.673	3.388	3.155	2.799	2.500	2.213	2.028	1.905	1.811	1.795	1.832	2.228	1.722
5.250	1000.000	2.449	2.844	3.177	3.508	3.750	3.936	4.074	4.130	4.121	4.217	4.150	3.972	3.890	3.707	3.420	3.184	2.825	2.523	2.234	2.046	1.923	1.828	1.803	1.849	2.244	1.734
5.500	1.000	2.449	2.844	3.177	3.508	3.707	3.733	3.443	2.296	0.505	0.087	0.030	0.011	0.008	0.009	0.006	0.005	0.005	0.006	0.006	0.008	0.010	0.012	0.013	0.009	0.019	0.015
5.500	1.260	2.449	2.844	3.177	3.508	3.707	3.741	3.451	2.328	0.530	0.096	0.034	0.013	0.009	0.010	0.006	0.006	0.006	0.007	0.007	0.009	0.012	0.014	0.014	0.010	0.022	0.016
