ordinal,uid,model,gsim,weight
97,b1~b11_b22_b33_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.000976562
98,b1~b11_b22_b33_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.000976562
99,b1~b11_b22_b33_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.000976562
100,b1~b11_b22_b33_b42_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.000976562
101,b1~b11_b22_b33_b42_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.000976562
102,b1~b11_b22_b33_b42_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.000976562
103,b1~b11_b22_b33_b42_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.000976562
104,b1~b11_b22_b33_b43_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abra,0.000976562
105,b1~b11_b22_b33_b43_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Boor,0.000976562
106,b1~b11_b22_b33_b43_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Camp,0.000976562
107,b1~b11_b22_b33_b43_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Chio,0.000976562
108,b1~b11_b22_b33_b44_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.000976562
109,b1~b11_b22_b33_b44_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.000976562
110,b1~b11_b22_b33_b44_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.000976562
111,b1~b11_b22_b33_b44_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.000976562
112,b1~b11_b22_b34_b41_b61_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abraha,0.000976562
113,b1~b11_b22_b34_b41_b62_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() BooreE,0.000976562
114,b1~b11_b22_b34_b41_b63_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Campbe,0.000976562
115,b1~b11_b22_b34_b41_b64_b71,W_CANADA_R2_collapsed_rates_FF.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() ChiouY,0.000976562
